h3_index,cluster_id,cluster_meaning
891f5220027ffff,11,11: building_house
891f5220103ffff,11,11: building_house
891f5220107ffff,2,2: building_house
891f522010bffff,2,2: building_house
891f522010fffff,2,2: building_house
891f5220113ffff,2,2: building_house
891f5220117ffff,2,2: building_house
891f522011bffff,2,2: building_house
891f5220123ffff,11,11: building_house
891f5220127ffff,2,2: building_house
891f522012bffff,2,2: building_house
891f522012fffff,2,2: building_house
891f5220133ffff,2,2: building_house
891f5220137ffff,2,2: building_house
891f522013bffff,2,2: building_house
891f5220143ffff,11,11: building_house
891f5220147ffff,2,2: building_house
891f522014fffff,0,0: landuse_industrial
891f5220157ffff,2,2: building_house
891f522015bffff,2,2: building_house
891f5220163ffff,11,11: building_house
891f5220167ffff,2,2: building_house
891f522016bffff,2,2: building_house
891f522016fffff,10,10: building_apartments
891f5220173ffff,2,2: building_house
891f5220177ffff,2,2: building_house
891f522017bffff,2,2: building_house
891f522018fffff,2,2: building_house
891f5220193ffff,11,11: building_house
891f522019bffff,9,9: aeroway_aerodrome
891f52201abffff,2,2: building_house
891f52201afffff,2,2: building_house
891f52201bbffff,2,2: building_house
891f5220303ffff,11,11: building_house
891f5220317ffff,9,9: aeroway_aerodrome
891f5220323ffff,11,11: building_house
891f5220327ffff,2,2: building_house
891f522032bffff,7,7: highway_bus_stop
891f522032fffff,2,2: building_house
891f5220337ffff,10,10: building_apartments
891f5220363ffff,0,0: landuse_industrial
891f522036bffff,3,3: landuse_industrial
891f522036fffff,0,0: landuse_industrial
891f522037bffff,0,0: landuse_industrial
891f52203a3ffff,10,10: building_apartments
891f52203a7ffff,10,10: building_apartments
891f52203afffff,2,2: building_house
891f52203b7ffff,10,10: building_apartments
891f5220523ffff,11,11: building_house
891f522052fffff,7,7: highway_bus_stop
891f5220563ffff,8,8: landuse_industrial
891f5220567ffff,10,10: building_apartments
891f522056fffff,2,2: building_house
891f5220573ffff,0,0: landuse_industrial
891f5220577ffff,0,0: landuse_industrial
891f52205b3ffff,8,8: landuse_industrial
891f52205b7ffff,3,3: landuse_industrial
891f5220803ffff,11,11: building_house
891f5220807ffff,2,2: building_house
891f522080bffff,2,2: building_house
891f522080fffff,2,2: building_house
891f5220813ffff,2,2: building_house
891f5220817ffff,2,2: building_house
891f522081bffff,2,2: building_house
891f5220823ffff,11,11: building_house
891f5220827ffff,2,2: building_house
891f522082bffff,2,2: building_house
891f522082fffff,2,2: building_house
891f5220833ffff,2,2: building_house
891f5220837ffff,2,2: building_house
891f522083bffff,2,2: building_house
891f5220843ffff,11,11: building_house
891f5220847ffff,0,0: landuse_industrial
891f522084bffff,2,2: building_house
