city,lat,lon,radius
Almaty,43.2220,76.8512,12000
Bangkok,13.7563,100.5018,15000
Beijing,39.9042,116.4074,20000
Bogota,4.7110,-74.0721,15000
Buenos Aires,-34.6037,-58.3816,18000
Cairo,30.0444,31.2357,18000
Dubai,25.2048,55.2708,18000
Hanoi,21.0285,105.8542,12000
Istanbul,41.0082,28.9784,18000
Johannesburg,-26.2041,28.0473,15000
Lagos,6.5244,3.3792,18000
Lima,-12.0464,-77.0428,15000
London,51.5074,-0.1278,20000
Los Angeles,34.0522,-118.2437,20000
Madrid,40.4168,-3.7038,15000
Melbourne,-37.8136,144.9631,18000
Mexico City,19.4326,-99.1332,20000
Moscow,55.7558,37.6173,20000
Mumbai,19.0760,72.8777,18000
Nairobi,-1.2921,36.8219,12000
New Delhi,28.6139,77.2090,18000
New York,40.7128,-74.0060,20000
Paris,48.8566,2.3522,15000
Rio de Janeiro,-22.9068,-43.1729,15000
Riyadh,24.7136,46.6753,18000
Sao Paulo,-23.5505,-46.6333,20000
Seoul,37.5665,126.9780,18000
Shanghai,31.2304,121.4737,20000
Singapore,1.3521,103.8198,15000
Sydney,-33.8688,151.2093,18000
Tashkent,41.2995,69.2401,12000
Chicago,41.8781,-87.6298,18000
Toronto,43.6510,-79.3470,18000
Cape Town,-33.9249,18.4241,15000
Kuala Lumpur,3.1390,101.6869,15000
Santiago,-33.4489,-70.6693,15000
Rome,41.9028,12.4964,15000
Taipei,25.0330,121.5654,12000
Chicago,41.8781,-87.6298,18000
Philadelphia,39.9526,-75.1652,18000
San Francisco,37.7749,-122.4194,15000
Athens,37.9838,23.7275,15000
Barcelona,41.3851,2.1734,15000
Belfast,54.5973,-5.9301,10000
Bucharest,44.4268,26.1025,15000
Budapest,47.4979,19.0402,15000
Cardiff,51.4816,-3.1791,10000
Copenhagen,55.6761,12.5683,12000
Dublin,53.3498,-6.2603,12000
Glasgow,55.8642,-4.2518,12000
Helsinki,60.1695,24.9354,12000
Lisbon,38.7223,-9.1393,12000
Manchester,53.4808,-2.2426,12000
Nantes,47.2184,-1.5536,10000
Oslo,59.9139,10.7522,12000
Reykjavik,64.1466,-21.9426,8000
Sevilla,37.3891,-5.9845,12000
Vienna,48.2082,16.3738,15000
Wroclaw,51.1079,17.0385,12000
Zagreb,45.8150,15.9819,10000
Seattle_North,47.6986,-122.3364,8000
Seattle_Central,47.6062,-122.3321,8000
Seattle_South,47.5238,-122.3024,8000
Bellevue,47.6101,-122.2015,10000
Redmond,47.6740,-122.1215,8000
Kirkland,47.6769,-122.2060,7000
Renton,47.4829,-122.2170,9000
Kent,47.3809,-122.2348,9000
Auburn,47.3073,-122.2284,8000
Federal_Way,47.3223,-122.3126,8000
Issaquah,47.5301,-122.0326,7000
Snoqualmie,47.5287,-118.8939,6000
